Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AZE,2017,EJ Events,0.9738428956284073,0.0025854879065887798,%,Estimated,Asia,Western Asia,Republic of Azerbaijan
AZE,2022,EJ Events,0.9742061210389478,0.0025495393159156265,%,Estimated,Asia,Western Asia,Republic of Azerbaijan
BDI,2007,EJ Events,0.9710856760801055,0.002858413263037492,%,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2012,EJ Events,0.9626918369211028,0.003689740916018238,%,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2017,EJ Events,0.9669092894216198,0.0032719574003977157,%,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2022,EJ Events,0.9681845693560778,0.0031456616083650767,%,Estimated,Africa,Eastern Africa,Republic of Burundi
BEL,2007,EJ Events,0.9582613094190648,0.0041288191577208,%,EJ Atlas,Europe,Western Europe,Kingdom of Belgium
BEL,2012,EJ Events,0.973626733677478,0.0026068821689259,%,EJ Atlas,Europe,Western Europe,Kingdom of Belgium
BEL,2017,EJ Events,0.9789002925744945,0.0020850708924103,%,EJ Atlas,Europe,Western Europe,Kingdom of Belgium
BEL,2022,EJ Events,0.9731859321189454,0.0026505111700113,%,EJ Atlas,Europe,Western Europe,Kingdom of Belgium
BEN,2007,EJ Events,1.0,0.0,%,EJ Atlas,Africa,Western Africa,Republic of Benin
BEN,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Africa,Western Africa,Republic of Benin
BEN,2017,EJ Events,0.9915548424682641,0.0008340283569641,%,EJ Atlas,Africa,Western Africa,Republic of Benin
BEN,2022,EJ Events,0.992331592463018,0.0007572889057175,%,EJ Atlas,Africa,Western Africa,Republic of Benin
BFA,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Africa,Western Africa,Burkina Faso
BFA,2012,EJ Events,0.9894424525382657,0.0010427528675703,%,EJ Atlas,Africa,Western Africa,Burkina Faso
BFA,2017,EJ Events,0.9831167196374934,0.0016680567139282,%,EJ Atlas,Africa,Western Africa,Burkina Faso
BFA,2022,EJ Events,0.9846689855374344,0.001514577811435,%,EJ Atlas,Africa,Western Africa,Burkina Faso
BGD,2007,EJ Events,0.9166938901058971,0.0082576383154417,%,EJ Atlas,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2012,EJ Events,0.9210852991211369,0.0078206465067778,%,EJ Atlas,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2017,EJ Events,0.9242458514890931,0.0075062552126772,%,EJ Atlas,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2022,EJ Events,0.9311924200877801,0.0068156001514577,%,EJ Atlas,Asia,Southern Asia,People's Republic of Bangladesh
BGR,2007,EJ Events,0.9249937397079455,0.0074318744838976,%,EJ Atlas,Europe,Eastern Europe,Republic of Bulgaria
BGR,2012,EJ Events,0.9315718071721057,0.0067778936392075,%,EJ Atlas,Europe,Eastern Europe,Republic of Bulgaria
BGR,2017,EJ Events,0.936832267528623,0.006255212677231,%,EJ Atlas,Europe,Eastern Europe,Republic of Bulgaria
BGR,2022,EJ Events,0.9388146671536542,0.0060583112457402,%,EJ Atlas,Europe,Eastern Europe,Republic of Bulgaria
BHR,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Asia,Western Asia,Kingdom of Bahrain
BHR,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Asia,Western Asia,Kingdom of Bahrain
BHR,2017,EJ Events,0.9957765411635009,0.000417014178482,%,EJ Atlas,Asia,Western Asia,Kingdom of Bahrain
BHR,2022,EJ Events,0.9961650706062528,0.0003786444528587,%,EJ Atlas,Asia,Western Asia,Kingdom of Bahrain
