Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
BDI,2007,Protected Forests,0.7293821770397868,27.49888888888889,%,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2012,Protected Forests,0.7293821770397868,27.49888888888889,%,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2017,Protected Forests,0.7245235865956379,26.869999999999997,%,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2022,Protected Forests,0.7245235865956379,26.869999999999997,%,Estimated,Africa,Eastern Africa,Republic of Burundi
BEL,2007,Protected Forests,0.7826626804294375,35.4,%,Estimated,Europe,Western Europe,Kingdom of Belgium
BEL,2012,Protected Forests,0.7826626804294375,35.4,%,Estimated,Europe,Western Europe,Kingdom of Belgium
BEL,2017,Protected Forests,0.7826626804294375,35.4,%,Food and Agriculture Organization (FAO),Europe,Western Europe,Kingdom of Belgium
BEL,2022,Protected Forests,0.7826626804294375,35.4,%,Estimated,Europe,Western Europe,Kingdom of Belgium
BEN,2007,Protected Forests,0.8883562170806946,58.144999999999996,%,Estimated,Africa,Western Africa,Republic of Benin
BEN,2012,Protected Forests,0.8883562170806946,58.144999999999996,%,Estimated,Africa,Western Africa,Republic of Benin
BEN,2017,Protected Forests,0.8883562170806946,58.144999999999996,%,Food and Agriculture Organization (FAO),Africa,Western Africa,Republic of Benin
BEN,2022,Protected Forests,0.8883562170806946,58.144999999999996,%,Estimated,Africa,Western Africa,Republic of Benin
BFA,2007,Protected Forests,0.5947297684277869,14.355,%,Estimated,Africa,Western Africa,Burkina Faso
BFA,2012,Protected Forests,0.5947297684277869,14.355,%,Estimated,Africa,Western Africa,Burkina Faso
BFA,2017,Protected Forests,0.5866405142093815,13.795,%,Food and Agriculture Organization (FAO),Africa,Western Africa,Burkina Faso
BFA,2022,Protected Forests,0.5866405142093815,13.795,%,Estimated,Africa,Western Africa,Burkina Faso
BGD,2007,Protected Forests,0.7068740371962882,24.7,%,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
