Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
BDI,2007,Education Index,0.18641309828596792,0.3870177130722222,,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2012,Education Index,0.18641309828596792,0.3870177130722222,,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2017,Education Index,0.18641309828596792,0.3870177130722222,,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2022,Education Index,0.18641309828596792,0.3870177130722222,,United Nations Development Programme (UNDP),Africa,Eastern Africa,Republic of Burundi
BEL,2007,Education Index,0.9139159208286929,0.9438898116111111,,Estimated,Europe,Western Europe,Kingdom of Belgium
BEL,2012,Education Index,0.9139159208286929,0.9438898116111111,,Estimated,Europe,Western Europe,Kingdom of Belgium
BEL,2017,Education Index,0.9139159208286929,0.9438898116111111,,Estimated,Europe,Western Europe,Kingdom of Belgium
BEL,2022,Education Index,0.9139159208286929,0.9438898116111111,,United Nations Development Programme (UNDP),Europe,Western Europe,Kingdom of Belgium
BEN,2007,Education Index,0.19129965939087448,0.3907581652777778,,Estimated,Africa,Western Africa,Republic of Benin
BEN,2012,Education Index,0.19129965939087448,0.3907581652777778,,Estimated,Africa,Western Africa,Republic of Benin
BEN,2017,Education Index,0.19129965939087448,0.3907581652777778,,Estimated,Africa,Western Africa,Republic of Benin
BEN,2022,Education Index,0.19129965939087448,0.3907581652777778,,United Nations Development Programme (UNDP),Africa,Western Africa,Republic of Benin
BFA,2007,Education Index,0.07541712602474493,0.3020550736333333,,Estimated,Africa,Western Africa,Burkina Faso
BFA,2012,Education Index,0.07541712602474493,0.3020550736333333,,Estimated,Africa,Western Africa,Burkina Faso
BFA,2017,Education Index,0.07541712602474493,0.3020550736333333,,Estimated,Africa,Western Africa,Burkina Faso
BFA,2022,Education Index,0.07541712602474493,0.3020550736333333,,United Nations Development Programme (UNDP),Africa,Western Africa,Burkina Faso
BGD,2007,Education Index,0.4356674113452686,0.5778111616777777,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2012,Education Index,0.4356674113452686,0.5778111616777777,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2017,Education Index,0.4356674113452686,0.5778111616777777,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2022,Education Index,0.4356674113452686,0.5778111616777777,,United Nations Development Programme (UNDP),Asia,Southern Asia,People's Republic of Bangladesh
BGR,2007,Education Index,0.6810779797232757,0.7656623891666667,,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2012,Education Index,0.6810779797232757,0.7656623891666667,,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2017,Education Index,0.6810779797232757,0.7656623891666667,,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2022,Education Index,0.6810779797232757,0.7656623891666667,,United Nations Development Programme (UNDP),Europe,Eastern Europe,Republic of Bulgaria
BHR,2007,Education Index,0.7533566107131393,0.8209885702777778,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2012,Education Index,0.7533566107131393,0.8209885702777778,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2017,Education Index,0.7533566107131393,0.8209885702777778,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2022,Education Index,0.7533566107131393,0.8209885702777778,,United Nations Development Programme (UNDP),Asia,Western Asia,Kingdom of Bahrain
BHS,2007,Education Index,0.6667608828453019,0.7547032677222223,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2012,Education Index,0.6667608828453019,0.7547032677222223,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2017,Education Index,0.6667608828453019,0.7547032677222223,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2022,Education Index,0.6667608828453019,0.7547032677222223,,United Nations Development Programme (UNDP),America,Caribbean,Commonwealth of the Bahamas
BIH,2007,Education Index,0.621447557743096,0.7200178676666666,,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2012,Education Index,0.621447557743096,0.7200178676666666,,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2017,Education Index,0.621447557743096,0.7200178676666666,,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2022,Education Index,0.621447557743096,0.7200178676666666,,United Nations Development Programme (UNDP),Europe,Southern Europe,Bosnia and Herzegovina
BLR,2007,Education Index,0.7212556331687665,0.7964166536111111,,Estimated,Europe,Eastern Europe,Republic of Belarus
BLR,2012,Education Index,0.7212556331687665,0.7964166536111111,,Estimated,Europe,Eastern Europe,Republic of Belarus
BLR,2017,Education Index,0.7212556331687665,0.7964166536111111,,Estimated,Europe,Eastern Europe,Republic of Belarus
BLR,2022,Education Index,0.7212556331687665,0.7964166536111111,,United Nations Development Programme (UNDP),Europe,Eastern Europe,Republic of Belarus
BLZ,2007,Education Index,0.5170453847498018,0.6401024977666667,,Estimated,America,Central America,Belize
BLZ,2012,Education Index,0.5170453847498018,0.6401024977666667,,Estimated,America,Central America,Belize
BLZ,2017,Education Index,0.5170453847498018,0.6401024977666667,,Estimated,America,Central America,Belize
BLZ,2022,Education Index,0.5170453847498018,0.6401024977666667,,United Nations Development Programme (UNDP),America,Central America,Belize
BMU,2007,Education Index,0.8657682705696426,0.9070348576388889,,Estimated,America,Northern America,Bermuda
