Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
BFA,2017,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Burkina Faso
BFA,2022,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Burkina Faso
BGD,2007,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2012,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2017,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2022,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGR,2007,Basel,1.0,100.0,,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2012,Basel,1.0,100.0,,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2017,Basel,1.0,100.0,,xx,Europe,Eastern Europe,Republic of Bulgaria
BGR,2022,Basel,1.0,100.0,,xx,Europe,Eastern Europe,Republic of Bulgaria
BHR,2007,Basel,0.0,0.0,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2012,Basel,0.0,0.0,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2017,Basel,0.0,0.0,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2022,Basel,0.0,0.0,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHS,2007,Basel,0.0,0.0,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2012,Basel,0.0,0.0,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2017,Basel,0.0,0.0,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2022,Basel,0.0,0.0,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BIH,2007,Basel,0.62,62.0,,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2012,Basel,0.62,62.0,,Estimated,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2017,Basel,0.62,62.0,,xx,Europe,Southern Europe,Bosnia and Herzegovina
BIH,2022,Basel,0.8,80.0,,xx,Europe,Southern Europe,Bosnia and Herzegovina
BLR,2007,Basel,0.38,38.0,,Estimated,Europe,Eastern Europe,Republic of Belarus
BLR,2012,Basel,0.38,38.0,,Estimated,Europe,Eastern Europe,Republic of Belarus
